question_id,domain,tier,subtopic,model,confidence_percent,score,justification,common_misconception
fia_001,fia,1,qualifying_format,gpt_oss_120b,95,0.5,"The model's answer is correct in stating that 5 drivers are eliminated, but it lacks the detail about the field being reduced from 20 to 15.","People assume the slowest six are cut to leave a round number, but with a 20-car grid it is exactly five eliminated per round."
fia_002,fia,1,qualifying_format,gpt_oss_120b,95,0.5,The model's answer is correct in stating the number of drivers but lacks the context of their participation in Q3 to determine grid positions.,"Some think Q3 includes all surviving cars from Q1, but it is strictly the ten fastest from Q2."
fia_003,fia,1,pit_lane_rules,gpt_oss_120b,95,1.0,"The model's answer accurately states the standard pit lane speed limit and acknowledges the possibility of a circuit-specific limit, capturing the essential truth.","Many believe the limit is always 60 km/h because some circuits use it, but the default standard is 80 km/h."
fia_004,fia,1,pit_lane_rules,gpt_oss_120b,88,0.5,The model's answer correctly identifies the 5-second penalty but adds details about drive-through or stop-and-go penalties that are not mentioned in the ground truth answer.,"People assume it is always a drive-through, but in the race a standard time penalty is the typical sanction, with fines used in practice."
fia_005,fia,1,race_start,gpt_oss_120b,92,1.0,"The model's answer accurately describes the sequence of the red lights and the mechanism involved, capturing all essential details of the start procedure.","Some think a green light signals the start, but it is the extinguishing of the red lights that starts the race."
fia_006,fia,1,race_start,gpt_oss_120b,92,1.0,"The model's answer accurately defines a jump start and provides a detailed explanation of how it is detected, including the use of sensors and the timing system, which aligns with the ground truth answer.","Many think any twitch is penalized, but the car must actually move out of position before the lights go out to trigger a jump start."
fia_007,fia,1,safety_car,gpt_oss_120b,95,0.5,"The model's answer correctly states that overtaking is generally prohibited but introduces additional exceptions that are not mentioned in the ground truth answer, which could lead to confusion about the specific circumstances allowed.","People assume drivers can race up to catch the pack, but overtaking is banned the moment the safety car is deployed."
fia_008,fia,1,safety_car,gpt_oss_120b,95,0.5,"The model's answer correctly indicates that the safety car is about to leave the track and the race is about to be restarted, but it lacks the specific detail that the safety car will enter the pit lane at the end of that lap.",People think a green light tells drivers to pass; in fact it is the extinguishing of the safety car's lights that signals it is returning to the pits.
fia_009,fia,1,vsc,gpt_oss_120b,92,1.0,"The model's answer accurately captures the essential requirements for drivers during a Virtual Safety Car period, including the need to reduce speed, adhere to delta times, and the prohibition of overtaking.","Drivers think they just need to be slower overall, but they must stay positive to the VSC delta in every mini-sector, not just on average."
fia_010,fia,1,vsc,gpt_oss_120b,95,1.0,"The model's answer accurately captures the essential truth about pit stops during a Virtual Safety Car period, including the requirement to respect the VSC delta and pit lane speed limit.","Some believe the pit lane is closed during a VSC like at the start of a safety car period, but pitting is allowed under VSC."
fia_011,fia,1,drs,gpt_oss_120b,95,1.0,The model's answer accurately captures the essential truth of the DRS enabling condition by stating the time requirement clearly and correctly.,"People often think it is a two-second gap, but the threshold is one second at the detection point."
fia_012,fia,1,drs,gpt_oss_120b,92,0.5,The model's answer correctly states that DRS is allowed after the first two laps but omits the detail about it being prohibited during the first two laps after a restart.,"Drivers assume DRS is available from lap one, but it is disabled for the first two laps after a start or restart."
fia_013,fia,1,drs,gpt_oss_120b,92,1.0,The model's answer accurately states that DRS is disabled when the track is wet and provides relevant context from the FIA regulations.,"Some think DRS is always available once the one-second gap is met, but the race director can disable it in the wet."
fia_014,fia,1,blue_flags,gpt_oss_120b,95,0.5,"The model's answer correctly identifies that a faster car is approaching and that the driver must allow it to pass, but it lacks the explicit mention of being lapped, which is a key detail.","Some think a blue flag tells the faster car to back off, but it instructs the slower lapped car to yield."
fia_015,fia,1,blue_flags,gpt_oss_120b,92,1.0,"The model's answer accurately captures the consequences of ignoring blue flags, including potential penalties and disqualification, aligning well with the ground truth answer.","People think blue flags are merely advisory, but ignoring them is a penalizable offence."
fia_016,fia,1,points_scoring,gpt_oss_120b,98,1.0,The model's answer is fully correct and accurately states the points scored by the race winner.,"Some still think first place is worth 10 points from the older system, but it has been 25 since 2010."
fia_017,fia,1,points_scoring,gpt_oss_120b,98,1.0,"The model's answer accurately states that ten finishing positions score championship points in a standard Formula 1 Grand Prix, capturing the essential truth of the ground truth answer.","People sometimes think the top eight or six score, reflecting older systems, but it has been the top ten since 2010."
fia_018,fia,1,points_scoring,gpt_oss_120b,98,1.0,The model's answer accurately states the point awarded for the fastest lap and correctly identifies the eligibility condition of finishing in the top 10.,"People think anyone can win the fastest-lap point, but the driver must finish in the top ten to receive it."
fia_019,fia,1,points_scoring,gpt_oss_120b,98,1.0,The model's answer is fully correct and accurately states the points awarded for second place in a standard Grand Prix.,"Some assume a smaller gap like 20 points, but second is 18, a deliberate seven-point gap from the win."
fia_020,fia,1,parc_ferme,gpt_oss_120b,92,0.5,"The model's answer incorrectly states that parc fermé conditions start at the end of the qualifying session instead of when a car leaves the pit lane for the first time in qualifying, and it also misstates the end time as the start of the formation lap instead of the start of the race.","People think parc fermé only applies after the race, but it actually begins at the start of qualifying."
fia_021,fia,1,parc_ferme,gpt_oss_120b,92,1.0,"The model's answer accurately reflects the prohibition of changing the rear wing angle under parc fermé, including the condition of needing FIA approval for exceptions.","Teams are thought to be able to tweak wings overnight, but aero setup changes are forbidden under parc fermé."
fia_022,fia,1,parc_ferme,gpt_oss_120b,95,1.0,The model's answer accurately reflects the consequence of starting from the pit lane and correctly conveys the loss of grid position.,"People assume a grid drop, but the standard consequence for breaking parc fermé is a pit lane start."
fia_023,fia,1,safety_car,gpt_oss_120b,95,0.5,"The model's answer is partially correct as it states the pit lane is closed when the safety car is deployed, but it fails to acknowledge that it may be open unless there is a hazard at the pit entry.","People assume the pit lane is always open under safety car, but it can be temporarily closed at deployment for safety."
