question_id,domain,tier,subtopic,model,confidence_percent,score,justification,common_misconception
fide_001,fide,1,basic_moves,gpt4o,82,1.0,Matches the ground truth precisely.,That a bishop can also slide one square sideways or jump over pieces.
fide_002,fide,1,basic_moves,gpt4o,92,1.0,Fully aligned with the regulation cited.,That a knight is blocked if pieces stand between its start and destination squares.
fide_003,fide,1,basic_moves,gpt4o,99,1.0,Matches the ground truth precisely.,That the king can move two squares like other long-range pieces in open positions.
fide_004,fide,1,basic_moves,gpt4o,98,1.0,Correctly states the rule and its application.,That a rook may move diagonally to reach nearby squares.
fide_005,fide,1,basic_moves,gpt4o,99,1.0,Matches the ground truth precisely.,That a queen can also move like a knight in an L-shape.
fide_006,fide,1,basic_moves,gpt4o,91,0.0,States a common misconception rather than the actual rule.,"That a pawn can always move two squares forward, not just on its first move."
fide_007,fide,1,basic_moves,gpt4o,93,1.0,Correctly states the rule and its application.,That a pawn captures the piece directly in front of it.
fide_008,fide,1,basic_moves,gpt4o,87,1.0,Correctly states the rule and its application.,"That a pawn can only become a queen, or that you can only promote to a piece already captured."
fide_009,fide,1,check_checkmate,gpt4o,99,1.0,Correctly states the rule and its application.,That a king must be attacked by two or more pieces to be considered in check.
fide_010,fide,1,check_checkmate,gpt4o,86,1.0,Matches the ground truth precisely.,That you can ignore a check for one move or castle out of it.
fide_011,fide,1,check_checkmate,gpt4o,97,1.0,Accurate and complete; captures the essential point.,That the king must actually be captured to end the game.
fide_012,fide,1,check_checkmate,gpt4o,98,1.0,Correctly states the rule and its application.,That you may expose your king to check as long as you can recapture next move.
fide_013,fide,1,check_checkmate,gpt4o,85,1.0,Accurate and complete; captures the essential point.,That announcing 'check' is mandatory in official play.
fide_014,fide,1,stalemate_draws,gpt4o,89,1.0,Fully aligned with the regulation cited.,"That stalemate is a win for the side delivering it, or a loss for the stalemated player."
fide_015,fide,1,stalemate_draws,gpt4o,95,1.0,Fully aligned with the regulation cited.,That a draw offer can be withdrawn after it has already been accepted.
fide_016,fide,1,stalemate_draws,gpt4o,96,1.0,Fully aligned with the regulation cited.,That the players must keep playing until stalemate or time runs out even with no mating material.
fide_017,fide,1,stalemate_draws,gpt4o,99,1.0,Correctly states the rule and its application.,That the rule counts 50 moves by one player rather than 50 by each.
fide_018,fide,1,stalemate_draws,gpt4o,90,1.0,Correctly states the rule and its application.,"That only three identical moves in a row, rather than three identical positions, trigger the rule."
fide_019,fide,1,piece_values,gpt4o,85,0.5,Right general direction but omits a key qualifying detail.,That the queen is worth exactly the sum of all minor pieces or has a fixed legal value.
fide_020,fide,1,piece_values,gpt4o,99,0.5,Captures the gist but the specifics are imprecise.,That a rook is worth the same as a bishop or knight.
fide_021,fide,1,piece_values,gpt4o,99,1.0,Accurate and complete; captures the essential point.,That a bishop is worth substantially more than a knight in all positions.
fide_022,fide,1,piece_values,gpt4o,92,1.0,Correctly states the rule and its application.,That all pawns are always equal in practical value regardless of position.
fide_023,fide,1,tournament_basics,gpt4o,87,1.0,Accurate and complete; captures the essential point.,That the player who wins a coin toss may choose to move first regardless of color.
fide_024,fide,1,tournament_basics,gpt4o,92,1.0,Matches the ground truth precisely.,That the bottom-right corner should be a dark square.
fide_025,fide,1,tournament_basics,gpt4o,97,1.0,Correctly states the rule and its application.,That the queen starts on the e-file beside the king on both sides.
fide_026,fide,1,tournament_basics,gpt4o,96,0.5,Right general direction but omits a key qualifying detail.,That each side starts with a different count or includes extra queens.
fide_027,fide,1,tournament_basics,gpt4o,93,1.0,Fully aligned with the regulation cited.,That a checkmate win is worth more points than a win on time or resignation.
fide_028,fide,1,tournament_basics,gpt4o,90,1.0,Accurate and complete; captures the essential point.,That a draw by stalemate scores differently from a draw by agreement.
fide_029,fide,1,tournament_basics,gpt4o,99,1.0,Fully aligned with the regulation cited.,That resignation must be confirmed by the arbiter before it takes effect.
fide_030,fide,1,tournament_basics,gpt4o,92,1.0,Correctly states the rule and its application.,That accidentally knocking over your own king automatically forfeits the game.
fide_031,fide,1,check_checkmate,gpt4o,81,1.0,Fully aligned with the regulation cited.,That you may develop a piece elsewhere and answer the check on the following move.
fide_032,fide,1,basic_moves,gpt4o,87,1.0,Fully aligned with the regulation cited.,That a defending piece can sit on the same square as the piece it protects.
fide_033,fide,1,basic_moves,gpt4o,94,1.0,Fully aligned with the regulation cited.,That the captured piece stays beside the board and can re-enter play later.
fide_034,fide,1,stalemate_draws,gpt4o,94,0.5,Captures the gist but the specifics are imprecise.,That simply offering a draw ends the game even without acceptance.
fide_035,fide,1,tournament_basics,gpt4o,84,1.0,Correctly states the rule and its application.,That the king and queen positions are mirrored so both kings sit on their own color.
fide_036,fide,1,check_checkmate,gpt4o,93,0.5,Captures the gist but the specifics are imprecise.,That a king can check the other king when they are next to each other.
fide_037,fide,1,basic_moves,gpt4o,86,1.0,Fully aligned with the regulation cited.,That a pawn can retreat to defend or reposition.
fide_038,fide,1,stalemate_draws,gpt4o,87,1.0,Matches the ground truth precisely.,That a bishop can corner and checkmate a lone king like a rook can.
fide_039,fide,1,stalemate_draws,gpt4o,95,1.0,Accurate and complete; captures the essential point.,That a knight can mate a lone king with proper technique.
fide_040,fide,1,check_checkmate,gpt4o,87,1.0,Matches the ground truth precisely.,"That a queen alone without king support can mate, or that the ending is a draw."
fide_041,fide,2,en_passant,gpt4o,75,1.0,Matches the ground truth precisely.,That en passant can be played at any later time after the two-square advance.
